id,row,col,time, time_delta(s) 
100,99,51,2022-01-30 16:36:06,5766
100,96,50,2022-01-30 16:36:07,5767
100,93,50,2022-01-30 16:36:08,5768
100,90,47,2022-01-30 16:36:09,5769
100,87,44,2022-01-30 16:36:10,5770
100,84,41,2022-01-30 16:36:11,5771
100,81,38,2022-01-30 16:36:12,5772
100,78,35,2022-01-30 16:36:13,5773
100,75,32,2022-01-30 16:36:14,5774
100,72,29,2022-01-30 16:36:15,5775
100,69,26,2022-01-30 16:36:16,5776
100,66,24,2022-01-30 16:36:17,5777
100,63,23,2022-01-30 16:36:18,5778
100,60,23,2022-01-30 16:36:19,5779
100,57,23,2022-01-30 16:36:20,5780
100,54,23,2022-01-30 16:36:21,5781
100,51,23,2022-01-30 16:36:22,5782
100,48,23,2022-01-30 16:36:23,5783
100,45,23,2022-01-30 16:36:24,5784
100,42,23,2022-01-30 16:36:25,5785
100,39,23,2022-01-30 16:36:26,5786
100,36,23,2022-01-30 16:36:27,5787
100,33,24,2022-01-30 16:36:28,5788
100,30,24,2022-01-30 16:36:29,5789
100,27,24,2022-01-30 16:36:30,5790
100,24,24,2022-01-30 16:36:31,5791
100,21,24,2022-01-30 16:36:32,5792
100,18,24,2022-01-30 16:36:33,5793
100,15,24,2022-01-30 16:36:34,5794
100,12,24,2022-01-30 16:36:35,5795
100,9,24,2022-01-30 16:36:36,5796
100,9,24,2022-01-30 16:36:37,5797
100,9,24,2022-01-30 16:36:38,5798
100,9,24,2022-01-30 16:36:39,5799
100,9,24,2022-01-30 16:36:40,5800
100,9,24,2022-01-30 16:36:41,5801
100,9,24,2022-01-30 16:36:42,5802
100,9,24,2022-01-30 16:36:43,5803
100,9,24,2022-01-30 16:36:44,5804
100,9,24,2022-01-30 16:36:45,5805
100,9,24,2022-01-30 16:36:46,5806
100,9,24,2022-01-30 16:36:47,5807
100,9,24,2022-01-30 16:36:48,5808
100,9,24,2022-01-30 16:36:49,5809
100,9,24,2022-01-30 16:36:50,5810
100,9,24,2022-01-30 16:36:51,5811
100,9,24,2022-01-30 16:36:52,5812
100,9,24,2022-01-30 16:36:53,5813
100,9,24,2022-01-30 16:36:54,5814
100,9,24,2022-01-30 16:36:55,5815
100,9,24,2022-01-30 16:36:56,5816
100,9,24,2022-01-30 16:36:57,5817
100,9,24,2022-01-30 16:36:58,5818
100,9,24,2022-01-30 16:36:59,5819
100,9,24,2022-01-30 16:37:00,5820
100,9,24,2022-01-30 16:37:01,5821
100,9,24,2022-01-30 16:37:02,5822
100,9,24,2022-01-30 16:37:03,5823
100,9,24,2022-01-30 16:37:04,5824
100,9,24,2022-01-30 16:37:05,5825
100,9,24,2022-01-30 16:37:06,5826
100,9,24,2022-01-30 16:37:07,5827
100,9,24,2022-01-30 16:37:08,5828
100,9,24,2022-01-30 16:37:09,5829
100,9,24,2022-01-30 16:37:10,5830
100,9,24,2022-01-30 16:37:11,5831
100,9,24,2022-01-30 16:37:12,5832
100,9,24,2022-01-30 16:37:13,5833
100,9,24,2022-01-30 16:37:14,5834
100,9,24,2022-01-30 16:37:15,5835
100,9,24,2022-01-30 16:37:16,5836
100,9,24,2022-01-30 16:37:17,5837
100,9,24,2022-01-30 16:37:18,5838
100,9,24,2022-01-30 16:37:19,5839
100,9,24,2022-01-30 16:37:20,5840
100,9,24,2022-01-30 16:37:21,5841
100,9,24,2022-01-30 16:37:22,5842
100,9,24,2022-01-30 16:37:23,5843
100,9,24,2022-01-30 16:37:24,5844
100,9,24,2022-01-30 16:37:25,5845
100,9,24,2022-01-30 16:37:26,5846
100,9,24,2022-01-30 16:37:27,5847
100,9,24,2022-01-30 16:37:28,5848
100,9,24,2022-01-30 16:37:29,5849
100,9,24,2022-01-30 16:37:30,5850
100,9,24,2022-01-30 16:37:31,5851
100,9,24,2022-01-30 16:37:32,5852
100,9,24,2022-01-30 16:37:33,5853
100,9,24,2022-01-30 16:37:34,5854
100,9,24,2022-01-30 16:37:35,5855
100,9,24,2022-01-30 16:37:36,5856
100,99,51,2022-01-30 16:37:37,5857
100,96,50,2022-01-30 16:37:38,5858
100,93,50,2022-01-30 16:37:39,5859
100,90,47,2022-01-30 16:37:40,5860
100,87,44,2022-01-30 16:37:41,5861
100,84,41,2022-01-30 16:37:42,5862
100,81,38,2022-01-30 16:37:43,5863
100,78,35,2022-01-30 16:37:44,5864
100,75,32,2022-01-30 16:37:45,5865
100,72,29,2022-01-30 16:37:46,5866
100,69,26,2022-01-30 16:37:47,5867
100,66,24,2022-01-30 16:37:48,5868
100,63,23,2022-01-30 16:37:49,5869
100,60,23,2022-01-30 16:37:50,5870
100,57,23,2022-01-30 16:37:51,5871
100,54,23,2022-01-30 16:37:52,5872
100,51,23,2022-01-30 16:37:53,5873
100,48,23,2022-01-30 16:37:54,5874
100,45,23,2022-01-30 16:37:55,5875
100,42,23,2022-01-30 16:37:56,5876
100,39,23,2022-01-30 16:37:57,5877
100,36,23,2022-01-30 16:37:58,5878
100,33,24,2022-01-30 16:37:59,5879
100,30,24,2022-01-30 16:38:00,5880
100,27,24,2022-01-30 16:38:01,5881
100,24,24,2022-01-30 16:38:02,5882
100,21,24,2022-01-30 16:38:03,5883
100,18,24,2022-01-30 16:38:04,5884
100,15,24,2022-01-30 16:38:05,5885
100,12,24,2022-01-30 16:38:06,5886
100,9,24,2022-01-30 16:38:07,5887
100,9,24,2022-01-30 16:38:08,5888
100,9,24,2022-01-30 16:38:09,5889
100,9,24,2022-01-30 16:38:10,5890
100,9,24,2022-01-30 16:38:11,5891
100,9,24,2022-01-30 16:38:12,5892
100,9,24,2022-01-30 16:38:13,5893
100,9,24,2022-01-30 16:38:14,5894
100,9,24,2022-01-30 16:38:15,5895
100,9,24,2022-01-30 16:38:16,5896
100,9,24,2022-01-30 16:38:17,5897
100,9,24,2022-01-30 16:38:18,5898
100,9,24,2022-01-30 16:38:19,5899
100,9,24,2022-01-30 16:38:20,5900
100,9,24,2022-01-30 16:38:21,5901
100,9,24,2022-01-30 16:38:22,5902
100,9,24,2022-01-30 16:38:23,5903
100,9,24,2022-01-30 16:38:24,5904
100,9,24,2022-01-30 16:38:25,5905
100,9,24,2022-01-30 16:38:26,5906
100,9,24,2022-01-30 16:38:27,5907
100,9,24,2022-01-30 16:38:28,5908
100,9,24,2022-01-30 16:38:29,5909
100,9,24,2022-01-30 16:38:30,5910
100,9,24,2022-01-30 16:38:31,5911
100,9,24,2022-01-30 16:38:32,5912
100,9,24,2022-01-30 16:38:33,5913
100,9,24,2022-01-30 16:38:34,5914
100,9,24,2022-01-30 16:38:35,5915
100,9,24,2022-01-30 16:38:36,5916
100,9,24,2022-01-30 16:38:37,5917
100,9,24,2022-01-30 16:38:38,5918
100,9,24,2022-01-30 16:38:39,5919
100,9,24,2022-01-30 16:38:40,5920
100,9,24,2022-01-30 16:38:41,5921
100,9,24,2022-01-30 16:38:42,5922
100,9,24,2022-01-30 16:38:43,5923
100,9,24,2022-01-30 16:38:44,5924
100,9,24,2022-01-30 16:38:45,5925
100,9,24,2022-01-30 16:38:46,5926
100,9,24,2022-01-30 16:38:47,5927
100,9,24,2022-01-30 16:38:48,5928
100,9,24,2022-01-30 16:38:49,5929
100,9,24,2022-01-30 16:38:50,5930
100,9,24,2022-01-30 16:38:51,5931
100,9,24,2022-01-30 16:38:52,5932
100,9,24,2022-01-30 16:38:53,5933
100,9,24,2022-01-30 16:38:54,5934
100,9,24,2022-01-30 16:38:55,5935
100,9,24,2022-01-30 16:38:56,5936
100,9,24,2022-01-30 16:38:57,5937
100,9,24,2022-01-30 16:38:58,5938
100,9,24,2022-01-30 16:38:59,5939
100,9,24,2022-01-30 16:39:00,5940
100,9,24,2022-01-30 16:39:01,5941
100,9,24,2022-01-30 16:39:02,5942
100,9,24,2022-01-30 16:39:03,5943
100,9,24,2022-01-30 16:39:04,5944
100,9,24,2022-01-30 16:39:05,5945
100,9,24,2022-01-30 16:39:06,5946
100,9,24,2022-01-30 16:39:07,5947
100,7,24,2022-01-30 16:39:08,5948
100,10,21,2022-01-30 16:39:09,5949
100,13,18,2022-01-30 16:39:10,5950
100,16,15,2022-01-30 16:39:11,5951
100,19,12,2022-01-30 16:39:12,5952
100,22,9,2022-01-30 16:39:13,5953
100,25,7,2022-01-30 16:39:14,5954
100,28,7,2022-01-30 16:39:15,5955
100,31,7,2022-01-30 16:39:16,5956
100,34,7,2022-01-30 16:39:17,5957
100,37,7,2022-01-30 16:39:18,5958
100,40,7,2022-01-30 16:39:19,5959
100,43,7,2022-01-30 16:39:20,5960
100,46,7,2022-01-30 16:39:21,5961
100,49,7,2022-01-30 16:39:22,5962
100,52,7,2022-01-30 16:39:23,5963
100,55,7,2022-01-30 16:39:24,5964
100,58,7,2022-01-30 16:39:25,5965
100,61,7,2022-01-30 16:39:26,5966
100,64,7,2022-01-30 16:39:27,5967
100,67,7,2022-01-30 16:39:28,5968
100,70,7,2022-01-30 16:39:29,5969
100,73,7,2022-01-30 16:39:30,5970
100,76,7,2022-01-30 16:39:31,5971
100,79,7,2022-01-30 16:39:32,5972
100,82,7,2022-01-30 16:39:33,5973
100,85,7,2022-01-30 16:39:34,5974
100,88,7,2022-01-30 16:39:35,5975
100,91,7,2022-01-30 16:39:36,5976
100,91,7,2022-01-30 16:39:37,5977
100,91,7,2022-01-30 16:39:38,5978
100,91,7,2022-01-30 16:39:39,5979
100,91,7,2022-01-30 16:39:40,5980
100,91,7,2022-01-30 16:39:41,5981
100,91,7,2022-01-30 16:39:42,5982
100,91,7,2022-01-30 16:39:43,5983
100,91,7,2022-01-30 16:39:44,5984
100,91,7,2022-01-30 16:39:45,5985
100,91,7,2022-01-30 16:39:46,5986
100,91,7,2022-01-30 16:39:47,5987
100,91,7,2022-01-30 16:39:48,5988
100,91,7,2022-01-30 16:39:49,5989
100,91,7,2022-01-30 16:39:50,5990
100,91,7,2022-01-30 16:39:51,5991
100,91,7,2022-01-30 16:39:52,5992
100,91,7,2022-01-30 16:39:53,5993
100,91,7,2022-01-30 16:39:54,5994
100,91,7,2022-01-30 16:39:55,5995
100,91,7,2022-01-30 16:39:56,5996
100,91,7,2022-01-30 16:39:57,5997
100,91,7,2022-01-30 16:39:58,5998
100,91,7,2022-01-30 16:39:59,5999
100,91,7,2022-01-30 16:40:00,6000
100,91,7,2022-01-30 16:40:01,6001
100,91,7,2022-01-30 16:40:02,6002
100,91,7,2022-01-30 16:40:03,6003
100,91,7,2022-01-30 16:40:04,6004
100,91,7,2022-01-30 16:40:05,6005
100,91,7,2022-01-30 16:40:06,6006
100,91,7,2022-01-30 16:40:07,6007
100,91,7,2022-01-30 16:40:08,6008
100,91,7,2022-01-30 16:40:09,6009
100,91,7,2022-01-30 16:40:10,6010
100,91,7,2022-01-30 16:40:11,6011
100,91,7,2022-01-30 16:40:12,6012
100,91,7,2022-01-30 16:40:13,6013
100,91,7,2022-01-30 16:40:14,6014
100,91,7,2022-01-30 16:40:15,6015
100,91,7,2022-01-30 16:40:16,6016
100,91,7,2022-01-30 16:40:17,6017
100,91,7,2022-01-30 16:40:18,6018
100,91,7,2022-01-30 16:40:19,6019
100,91,7,2022-01-30 16:40:20,6020
100,91,7,2022-01-30 16:40:21,6021
100,91,7,2022-01-30 16:40:22,6022
100,91,7,2022-01-30 16:40:23,6023
100,91,7,2022-01-30 16:40:24,6024
100,91,7,2022-01-30 16:40:25,6025
100,91,7,2022-01-30 16:40:26,6026
100,91,7,2022-01-30 16:40:27,6027
100,91,7,2022-01-30 16:40:28,6028
100,91,7,2022-01-30 16:40:29,6029
100,91,7,2022-01-30 16:40:30,6030
100,91,7,2022-01-30 16:40:31,6031
100,91,7,2022-01-30 16:40:32,6032
100,91,7,2022-01-30 16:40:33,6033
100,91,7,2022-01-30 16:40:34,6034
100,91,7,2022-01-30 16:40:35,6035
100,91,7,2022-01-30 16:40:36,6036
100,91,7,2022-01-30 16:40:37,6037
100,91,7,2022-01-30 16:40:38,6038
100,91,7,2022-01-30 16:40:39,6039
100,91,7,2022-01-30 16:40:40,6040
100,91,7,2022-01-30 16:40:41,6041
100,91,7,2022-01-30 16:40:42,6042
100,91,7,2022-01-30 16:40:43,6043
100,91,7,2022-01-30 16:40:44,6044
100,91,7,2022-01-30 16:40:45,6045
100,91,7,2022-01-30 16:40:46,6046
100,91,7,2022-01-30 16:40:47,6047
100,91,7,2022-01-30 16:40:48,6048
100,91,7,2022-01-30 16:40:49,6049
100,91,7,2022-01-30 16:40:50,6050
100,91,7,2022-01-30 16:40:51,6051
100,91,7,2022-01-30 16:40:52,6052
100,91,7,2022-01-30 16:40:53,6053
100,91,7,2022-01-30 16:40:54,6054
100,91,7,2022-01-30 16:40:55,6055
100,91,7,2022-01-30 16:40:56,6056
100,91,7,2022-01-30 16:40:57,6057
100,91,7,2022-01-30 16:40:58,6058
100,91,7,2022-01-30 16:40:59,6059
100,91,7,2022-01-30 16:41:00,6060
100,91,7,2022-01-30 16:41:01,6061
100,91,7,2022-01-30 16:41:02,6062
100,91,7,2022-01-30 16:41:03,6063
100,91,7,2022-01-30 16:41:04,6064
100,91,7,2022-01-30 16:41:05,6065
100,91,7,2022-01-30 16:41:06,6066
100,91,7,2022-01-30 16:41:07,6067
100,91,7,2022-01-30 16:41:08,6068
100,91,7,2022-01-30 16:41:09,6069
100,91,7,2022-01-30 16:41:10,6070
100,91,7,2022-01-30 16:41:11,6071
100,91,7,2022-01-30 16:41:12,6072
100,91,7,2022-01-30 16:41:13,6073
100,91,7,2022-01-30 16:41:14,6074
100,91,7,2022-01-30 16:41:15,6075
100,91,7,2022-01-30 16:41:16,6076
100,91,7,2022-01-30 16:41:17,6077
100,91,7,2022-01-30 16:41:18,6078
100,91,7,2022-01-30 16:41:19,6079
100,91,7,2022-01-30 16:41:20,6080
100,91,7,2022-01-30 16:41:21,6081
100,91,7,2022-01-30 16:41:22,6082
100,91,7,2022-01-30 16:41:23,6083
100,91,7,2022-01-30 16:41:24,6084
100,91,7,2022-01-30 16:41:25,6085
100,91,7,2022-01-30 16:41:26,6086
100,91,7,2022-01-30 16:41:27,6087
100,91,7,2022-01-30 16:41:28,6088
100,91,7,2022-01-30 16:41:29,6089
100,91,7,2022-01-30 16:41:30,6090
100,91,7,2022-01-30 16:41:31,6091
100,91,7,2022-01-30 16:41:32,6092
100,91,7,2022-01-30 16:41:33,6093
100,91,7,2022-01-30 16:41:34,6094
100,91,7,2022-01-30 16:41:35,6095
100,91,7,2022-01-30 16:41:36,6096
100,91,7,2022-01-30 16:41:37,6097
100,91,7,2022-01-30 16:41:38,6098
100,91,7,2022-01-30 16:41:39,6099
100,91,7,2022-01-30 16:41:40,6100
100,91,7,2022-01-30 16:41:41,6101
100,91,7,2022-01-30 16:41:42,6102
100,91,7,2022-01-30 16:41:43,6103
100,91,7,2022-01-30 16:41:44,6104
100,91,7,2022-01-30 16:41:45,6105
100,91,7,2022-01-30 16:41:46,6106
100,91,7,2022-01-30 16:41:47,6107
100,91,7,2022-01-30 16:41:48,6108
100,91,7,2022-01-30 16:41:49,6109
100,91,7,2022-01-30 16:41:50,6110
100,91,7,2022-01-30 16:41:51,6111
100,91,7,2022-01-30 16:41:52,6112
100,91,7,2022-01-30 16:41:53,6113
100,91,7,2022-01-30 16:41:54,6114
100,91,7,2022-01-30 16:41:55,6115
100,91,7,2022-01-30 16:41:56,6116
100,91,7,2022-01-30 16:41:57,6117
100,91,7,2022-01-30 16:41:58,6118
100,91,7,2022-01-30 16:41:59,6119
100,91,7,2022-01-30 16:42:00,6120
100,91,7,2022-01-30 16:42:01,6121
100,91,7,2022-01-30 16:42:02,6122
100,91,7,2022-01-30 16:42:03,6123
100,91,7,2022-01-30 16:42:04,6124
100,91,7,2022-01-30 16:42:05,6125
100,91,7,2022-01-30 16:42:06,6126
100,91,7,2022-01-30 16:42:07,6127
100,91,7,2022-01-30 16:42:08,6128
100,91,7,2022-01-30 16:42:09,6129
100,91,7,2022-01-30 16:42:10,6130
100,91,7,2022-01-30 16:42:11,6131
100,91,7,2022-01-30 16:42:12,6132
100,91,7,2022-01-30 16:42:13,6133
100,91,7,2022-01-30 16:42:14,6134
100,91,7,2022-01-30 16:42:15,6135
100,91,7,2022-01-30 16:42:16,6136
100,91,7,2022-01-30 16:42:17,6137
100,91,7,2022-01-30 16:42:18,6138
100,91,7,2022-01-30 16:42:19,6139
100,91,7,2022-01-30 16:42:20,6140
100,91,7,2022-01-30 16:42:21,6141
100,91,7,2022-01-30 16:42:22,6142
100,91,7,2022-01-30 16:42:23,6143
100,91,7,2022-01-30 16:42:24,6144
100,91,7,2022-01-30 16:42:25,6145
100,91,7,2022-01-30 16:42:26,6146
100,91,7,2022-01-30 16:42:27,6147
100,91,7,2022-01-30 16:42:28,6148
100,91,7,2022-01-30 16:42:29,6149
100,91,7,2022-01-30 16:42:30,6150
100,91,7,2022-01-30 16:42:31,6151
100,91,7,2022-01-30 16:42:32,6152
100,91,7,2022-01-30 16:42:33,6153
100,91,7,2022-01-30 16:42:34,6154
100,91,7,2022-01-30 16:42:35,6155
100,91,7,2022-01-30 16:42:36,6156
100,91,7,2022-01-30 16:42:37,6157
100,91,7,2022-01-30 16:42:38,6158
100,91,7,2022-01-30 16:42:39,6159
100,91,7,2022-01-30 16:42:40,6160
100,91,7,2022-01-30 16:42:41,6161
100,91,7,2022-01-30 16:42:42,6162
100,91,7,2022-01-30 16:42:43,6163
100,91,7,2022-01-30 16:42:44,6164
100,91,7,2022-01-30 16:42:45,6165
100,91,7,2022-01-30 16:42:46,6166
100,91,7,2022-01-30 16:42:47,6167
100,91,7,2022-01-30 16:42:48,6168
100,91,7,2022-01-30 16:42:49,6169
100,91,7,2022-01-30 16:42:50,6170
100,91,7,2022-01-30 16:42:51,6171
100,91,7,2022-01-30 16:42:52,6172
100,91,7,2022-01-30 16:42:53,6173
100,91,7,2022-01-30 16:42:54,6174
100,91,7,2022-01-30 16:42:55,6175
100,91,7,2022-01-30 16:42:56,6176
100,91,7,2022-01-30 16:42:57,6177
100,91,7,2022-01-30 16:42:58,6178
100,91,7,2022-01-30 16:42:59,6179
100,91,7,2022-01-30 16:43:00,6180
100,91,7,2022-01-30 16:43:01,6181
100,91,7,2022-01-30 16:43:02,6182
100,91,7,2022-01-30 16:43:03,6183
100,91,7,2022-01-30 16:43:04,6184
100,91,7,2022-01-30 16:43:05,6185
100,91,7,2022-01-30 16:43:06,6186
100,91,7,2022-01-30 16:43:07,6187
100,91,7,2022-01-30 16:43:08,6188
100,91,7,2022-01-30 16:43:09,6189
100,91,7,2022-01-30 16:43:10,6190
100,91,7,2022-01-30 16:43:11,6191
100,91,7,2022-01-30 16:43:12,6192
100,91,7,2022-01-30 16:43:13,6193
100,91,7,2022-01-30 16:43:14,6194
100,91,7,2022-01-30 16:43:15,6195
100,91,7,2022-01-30 16:43:16,6196
100,91,7,2022-01-30 16:43:17,6197
100,91,7,2022-01-30 16:43:18,6198
100,91,7,2022-01-30 16:43:19,6199
